"UID","uuid","sector","facility_id"
"KMFH","8f5134607489001de6929a975903e6ad","E","EKMFH"
"LDBD","11ee71c2a51089441d9785ae37268bbd","E","ELDBD"
"REDB","535715462957cb9f970fb853273fb657","E","EREDB"
"XAQJ","545e1479c9979a563efbc96fc6cd2765","E","EXAQJ"
"XCDF","ebb4ac39c41f2b5a5e173d38aee9c67e","E","EXCDF"
"UWZC","3498a1b9cce298f440d368fc9b8098fb","E","EUWZC"
"ECWJ","4f3d9778fce9e9e3ce4e50a622185569","E","EECWJ"
"QLPO","750438eee41a80fad738353777c5920f","E","EQLPO"
"WYPW","3f614c0176446449e31a3230592c7048","E","EWYPW"
"SLHA","d39ff91a22f7b1e8146f4a9e0d2de895","E","ESLHA"
"DYNX","c6275391eadf7dcc63d68babf46a82e9","E","EDYNX"
"PIAU","9861c2c92dff8d7053df2d1dec4170e6","E","EPIAU"
"SGYJ","d0431c2067790e0766c9fd80f72f070a","E","ESGYJ"
"PNHB","6b9dcaf630b756471236f645e08aae84","E","EPNHB"
"DLIV","d21201e57b72617546e22941b336d598","E","EDLIV"
"JYNV","624e1917a54dd9cec65dfa77e04eec15","E","EJYNV"
"MBAR","650a2a0a51c0ee46cfff3b5e962790ec","E","EMBAR"
"RRLD","9c4bc03cb9a9ef449f99ed1c18c019dd","E","ERRLD"
"GUWI","2b129bf0f3acd821ecd5450bb08c58c9","E","EGUWI"
"TUZS","f8f3487295636a1e6b4166940fd99c54","E","ETUZS"
"FBCS","e340ece478896dfa37865c4757503667","E","EFBCS"
"HOHH","10b469d5915339b809b823858c13ee4b","E","EHOHH"
"NLWK","3cf8654d52aebf7ea932e293d2596ce3","E","ENLWK"
"TDOG","302939c0ff733fe09b0fead5a4af7cc1","E","ETDOG"
"XSLC","e7fe1835ccf6c0fa30eccd4ae197ae9b","E","EXSLC"
"RVMV","b0eb743f780b0c16859edf2a65f3db96","E","ERVMV"
"DRQN","aad616133665b54c4befde0cc0cf12ea","E","EDRQN"
"QWWV","9c4146a23957d4f5bc51467e5ad24e18","E","EQWWV"
"PCBJ","f9c498795147908cdea29b83780772ed","E","EPCBJ"
"OPUQ","5e74b0fac0c42dcd1e1f5073589e9e74","E","EOPUQ"
"FVXA","0451b2d311faca13a34f981d2805f971","E","EFVXA"
"TRMP","7ad21f369b96d92993ce41b06b09c210","E","ETRMP"
"GKUK","9afd87bcd0c1b449647bc0b4060adf82","E","EGKUK"
"UXZB","7ddc3c673094e46f855384e6a447a030","E","EUXZB"
"BNSN","aae4973de63ee8b8031b3275c2cfaded","E","EBNSN"
"FSZY","21720ec867effb1c628753d72fe438be","E","EFSZY"
"TMKS","a61a14f04951af3036f0657013fd414e","E","ETMKS"
"IRJO","777cb9a6f715136f1083f71c67d2477e","E","EIRJO"
"QDYQ","2bb230ce8bfcf5ae06bfdaae00afdd58","E","EQDYQ"
"BWVQ","55909d7d0d8ec86b4de37fd3615a844e","E","EBWVQ"
"OYLM","e04dcc5c036576cfcc6927cab598ce60","E","EOYLM"
"WFWM","9a5ec9e9f2129a50f6bfa4a5615d195c","E","EWFWM"
"WLWJ","96d66e141a571cfbfddd870474dfd143","E","EWLWJ"
"IDSL","4d0ad11aab8f97e7e8e2d3f2f3825045","E","EIDSL"
"MSDV","aca6fbeba63f16b506252389e94e7891","E","EMSDV"
"SADY","9ba2a455bd16f54aeedb66156c596adb","E","ESADY"
"ROVD","a5480d0074a19b8e315db8402ced1e09","E","EROVD"
"MFMT","ee4e89e7740ce6814a989793ba53d412","E","EMFMT"
"MRIZ","b0d28d7a63382860c8ab312bc9ae658c","E","EMRIZ"
"GCIZ","5128c64512006e5e83907ed856b1bdd7","E","EGCIZ"
"KBHY","e477a74e6d184c2f9dbcca11ed1b6192","E","EKBHY"
"ZRZI","cf1bfa34b5ccbea51cb0b59767f32a88","E","EZRZI"
"NWVN","d22fc764976eb83b00b47366dec5afe2","E","ENWVN"
"DTZN","b60633a1e85c6408d86b8f7caa89d353","E","EDTZN"
"ZMOS","37bb0b8a8c615bddf8ed90bc285ca15f","E","EZMOS"
"OYNK","4f3de371751a291fba0f7c41582ea2be","E","EOYNK"
"VRVI","5748f0ae3ebe09bcb051048969e6c40c","E","EVRVI"
"EBHQ","07bc62cd4226c0e3cc50a53f1711ba1b","E","EEBHQ"
"IONF","53cb180d1c8e91e8052680c7adeb1653","E","EIONF"
"AILI","33a27c9627ae54e2eded5d96c4caff32","E","EAILI"
"CHDQ","69cdae41d403fc38e264db18059c2046","E","ECHDQ"
"YUQG","87f22adad4592fd5efa4a5cd7700c0ef","E","EYUQG"
"GPMQ","42ce2d140d5a1d346d469f9c5ae5d55a","E","EGPMQ"
"KWPM","2906cb137548d4121a8095d8f7005316","E","EKWPM"
"SIJY","48630513374e5f46b1ea19cfc98778ff","E","ESIJY"
"RWGW","f6545cd20aa3783420580148c169a9ca","E","ERWGW"
"DINV","c3ab7d4e011d33018f23df4d50badd7f","E","EDINV"
"NATL","4d297bc1b7aa7941cee7c188a0a4a2ad","E","ENATL"
"DGFI","f4df8d37810958bc53832eb7347bce36","E","EDGFI"
"RAOC","2c361870e78abf0ee562f6a772e3b62d","E","ERAOC"
"BVRB","f5a30cf7bd391409f4fe8e3529aaa459","E","EBVRB"
