"lga_id","state","lga","unique_lga","pop_2006","zone","area_sq_km","surveying_effort","pop_density_2006","unique_lga_2013","longitude","latitude"
95,"Katsina","Batagarawa","katsina_batagarawa",184575,"Northwest",432.5809934,"Others",426.683101699123,"katsina_batagarawa",7.57384883694179,12.8968899395268
96,"Katsina","Batsari","katsina_batsari",208978,"Northwest",1107.146394,"Others",188.753719591666,"katsina_batsari",7.23495950248709,12.7863964303502
97,"Bauchi","Bauchi","bauchi_bauchi",493810,"Northeast",3685.260294,"Others",133.995962457245,"bauchi_bauchi",9.93564332428422,10.2338524482725
98,"Katsina","Baure","katsina_baure",197425,"Northwest",706.4039737,"Others",279.478892178265,"katsina_baure",8.78895305795101,12.790258553795
99,"Borno","Bayo","borno_bayo",78978,"Northeast",955.1491099,"Others",82.6865660883762,"borno_bayo",11.6987937855582,10.4022705405244
100,"Kano","Bebeji","kano_bebeji",188859,"Northwest",716.7853126,"Others",263.480566189269,"kano_bebeji",8.31216379263746,11.5048158773519
101,"Cross River","Bekwara","cross_river_bekwara",105822,"South-South",305.5696255,"Others",346.310598858917,"cross_river_bekwara",8.90972233236947,6.6980307040905
102,"Abia","Bende","abia_bende",192111,"Southeast",601.5304693,"Others",319.370355791884,"abia_bende",7.61095109315411,5.66423959154558
103,"Cross River","Biase","cross_river_biase",169183,"South-South",1310.419734,"Others",129.105961708602,"cross_river_biase",8.07306955671774,5.54109928339421
104,"Kano","Bichi","kano_bichi",277099,"Northwest",611.7439466,"Others",452.9656591456,"kano_bichi",8.27257948223545,12.2618106670363
105,"Niger","Bida","niger_bida",188181,"North-Central",51.05643395,"Others",3685.7450754255,"niger_bida",6.01713242845685,9.09620153547891
106,"Gombe","Billiri","gombe_billiri",202144,"Northeast",735.9631105,"Others",274.665940610348,"gombe_billiri",11.1201157098142,9.8181942691207
107,"Katsina","Bindawa","katsina_bindawa",152356,"Northwest",398.1057134,"Others",382.702369927856,"katsina_bindawa",7.85780811078378,12.7185335356466
108,"Sokoto","Binji","sokoto_binji",105027,"Northwest",559.2668578,"113",187.794070997067,"sokoto_binji",4.83964191741603,13.196061256001
109,"Jigawa","Biriniwa","jigawa_biriniwa",142329,"Northwest",1566.520263,"148",90.8567883618879,"jigawa_biriniwa",10.0756376284521,12.8299778844005
110,"Kaduna","Birnin Gwari","kaduna_birnin_gwari",252363,"Northwest",6187.88964,"113",40.7833711785461,"kaduna_birnin_gwari",6.64360320888922,10.875142750884
111,"Kebbi","Birnin-Kebbi","kebbi_birnin_kebbi",268420,"Northwest",1328.451749,"Others",202.054760515054,"kebbi_birnin_kebbi",4.2689647069313,12.4736370177353
112,"Jigawa","Birnin-Kudu","jigawa_birnin_kudu",313373,"Northwest",1417.312968,"Others",221.103600316455,"jigawa_birnin_kudu",9.48447631658569,11.4746012172302
113,"Zamfara","Birnin-Magaji","zamfara_birnin_magaji",178619,"Northwest",1188.003269,"148",150.352279880806,"zamfara_birnin_magaji",6.8954819313671,12.4355359133443
114,"Borno","Biu","borno_biu",176072,"Northeast",3311.145421,"Others",53.175556374937,"borno_biu",12.088288591172,10.7994719969798
115,"Sokoto","Bodinga","sokoto_bodinga",175406,"Northwest",564.6039522,"Others",310.670868166126,"sokoto_bodinga",5.18008272519609,12.8377693539252
116,"Bauchi","Bogoro","bauchi_bogoro",84215,"Northeast",893.7797415,"Others",94.223437934121,"bauchi_bogoro",9.61674146001694,9.62389255888794
117,"Cross River","Boki","cross_river_boki",186141,"South-South",2770.246399,"113",67.192939973568,"cross_river_boki",9.00689922643145,6.27091144364421
118,"Osun","Boluwaduro","osun_boluwaduro",70775,"Southwest",143.7813218,"Others",492.240571403622,"osun_boluwaduro",4.80277550937942,7.93168512273618
119,"Delta","Bomadi","delta_bomadi",86644,"South-South",128.9961006,"148",671.679218185608,"delta_bomadi",5.85952540143965,5.2041846214736
120,"Rivers","Bonny","rivers_bonny",215358,"South-South",641.7583111,"Others",335.574929494668,"rivers_bonny",7.19591574463317,4.51023610989358
121,"Niger","Borgu","niger_borgu",171965,"North-Central",11279.79145,"Others",15.2454059777852,"niger_borgu",4.15033194857208,10.3194422474357
122,"Osun","Boripe","osun_boripe",139358,"Southwest",132.0668869,"Others",1055.20773050038,"osun_boripe",4.66946376305005,7.8558501358014
123,"Yobe","Bosari","yobe_bosari",109124,"Northeast",3814.334712,"Others",28.6089208838157,"yobe_bosari",11.4173151110402,12.7171060473219
124,"Niger","Bosso","niger_bosso",147359,"North-Central",1592.903744,"Others",92.5096701888347,"niger_bosso",6.41598748061514,9.61205063681217
125,"Bayelsa","Brass","bayelsa_brass",185049,"South-South",1404.369323,"113",131.766620766609,"bayelsa_brass",6.29120134913557,4.44576873342201
126,"Jigawa","Buji","jigawa_buji",97371,"Northwest",548.2123905,"Others",177.615467449016,"jigawa_buji",9.72853311967319,11.5958076156098
127,"Zamfara","Bukkuyum","zamfara_bukkuyum",211633,"Northwest",3215.815702,"113",65.8100524443549,"zamfara_bukkuyum",5.58075667047343,11.9473559905852
128,"Benue","Buruku","benue_buruku",203721,"North-Central",1245.273739,"Others",163.595355478704,"benue_buruku",9.13302732701315,7.38299800937389
129,"Zamfara","Bungudu","zamfara_bungudu",257917,"Northwest",2293.483548,"Others",112.456442177191,"zamfara_bungudu",6.54034748382801,12.1116265864107
130,"Kano","Bunkure","kano_bunkure",170891,"Northwest",487.1624405,"148",350.788537442677,"kano_bunkure",8.59785178745106,11.6687544855339
131,"Kebbi","Bunza","kebbi_bunza",121461,"Northwest",877.4128801,"113",138.430837698846,"kebbi_bunza",3.91828328415267,12.1622641493355
132,"Delta","Burutu","delta_burutu",209666,"South-South",1938.904411,"148",108.136326272972,"delta_burutu",5.58806409219495,5.23569561279018
133,"FCT","Bwari","fct_bwari",227216,"North-Central",914.4087127,"113",248.484071558213,"fct_bwari",7.50303523056855,9.27625834499478
134,"Cross River","Calabar-Municipal","cross_river_calabar_municipal",179392,"South-South",184.0515169,"Others",974.683626744942,"cross_river_calabar_municipal",8.33076523793845,4.86344216872763
135,"Cross River","Calabar South","cross_river_calabar_south",191630,"South-South",141.5588795,"Others",1353.71232576053,"cross_river_calabar_south",8.36122260571032,5.00889043116219
136,"Niger","Chanchaga","niger_chanchaga",201429,"North-Central",72.39311831,"Others",2782.43298123236,"niger_chanchaga",6.54578356622083,9.61882704918819
137,"Katsina","Charanchi","katsina_charanchi",137613,"Northwest",470.7862384,"Others",292.304635895236,"katsina_charanchi",7.67691549949262,12.6054733080003
138,"Borno","Chibok","borno_chibok",66105,"Northeast",1347.776295,"148",49.0474570930185,"borno_chibok",12.7751690095412,10.8294891958416
139,"Kaduna","Chikun","kaduna_chikun",368250,"Northwest",4646.43162,"Others",79.254367677534,"kaduna_chikun",7.21818106408817,10.3775258988305
140,"Kano","Dala","kano_dala",418777,"Northwest",19.05526127,"Others",21976.9749711755,"kano_dala",8.50285786226016,12.0083034469902
141,"Yobe","Damaturu","yobe_damaturu",88014,"Northeast",2363.534904,"Others",37.2382907699171,"yobe_damaturu",11.9731543708597,11.7912459541091
142,"Bauchi","Dambam","bauchi_dambam",150922,"Northeast",1076.43495,"Others",140.205406745665,"bauchi_damban",10.7868182411959,11.6167797305212
143,"Kano","Dambatta","kano_dambatta",207968,"Northwest",731.5852426,"Others",284.270359610996,"kano_dambatta",8.63975091236163,12.4265601776796
144,"Borno","Damboa","borno_damboa",231573,"Northeast",6209.867213,"148",37.2911355520155,"borno_damboa",12.7625647892304,11.1197674405332
145,"Kebbi","Dandi","kebbi_dandi",144273,"Northwest",2005.22066,"Others",71.948690175574,"kebbi_dandi",3.8039110875946,11.8364989312203
146,"Katsina","Dandume","katsina_dandume",145739,"Northwest",422.5749158,"Others",344.883225555623,"katsina_dandume",7.19730596018669,11.4142897940762
147,"Sokoto","Dange/shuni","sokoto_dange_shuni",194546,"Northwest",1210.918596,"Others",160.659850003658,"sokoto_dange_shuni",5.42302707506453,12.8290807682644
148,"Katsina","Danja","katsina_danja",125703,"Northwest",501.0820692,"Others",250.863097537476,"katsina_danja",7.56652914002826,11.4014178614247
149,"Katsina","Dan-Musa","katsina_dan_musa",113691,"Northwest",791.6839094,"Others",143.606556417401,"katsina_dan_musa",7.32821555298049,12.2277913774422
150,"Bauchi","Darazo","bauchi_darazo",251597,"Northeast",3012.367435,"Others",83.5213517038966,"bauchi_darazo",10.6097248957504,11.1500409338735
151,"Bauchi","Dass","bauchi_dass",89943,"Northeast",534.8070758,"Others",168.178403147448,"bauchi_dass",9.48524863198391,10.0167698062747
152,"Katsina","Daura","katsina_daura",219721,"Northwest",316.0199395,"Others",695.275748573453,"katsina_daura",8.25101572122153,12.9880948361376
153,"Kano","Dawakin-Kudu","kano_dawakin_kudu",225389,"Northwest",384.1754789,"Others",586.682420870147,"kano_dawakin_kudu",8.67119092887907,11.8035891051976
154,"Kano","Dawakin-Tofa","kano_dawakin_tofa",247875,"Northwest",479.0294949,"Others",517.452479730387,"kano_dawakin_tofa",8.39699588749077,12.1355646055358
155,"Rivers","Degema","rivers_degema",249773,"South-South",1010.90431,"148",247.078776427415,"rivers_degema",6.93144097595125,4.57681937371633
156,"Kogi","Dekina","kogi_dekina",260312,"North-Central",2462.087526,"Others",105.728166546099,"kogi_dekina",7.1828322118234,7.56817178320978
157,"Adamawa","Demsa","adamawa_demsa",180251,"Northeast",1823.065418,"Others",98.8724805047012,"adamawa_demsa",12.0482679938747,9.38325045617851
158,"Borno","Dikwa","borno_dikwa",105909,"Northeast",1770.811943,"148",59.808157731631,"borno_dikwa",14.0310181262046,11.9150683441008
159,"Kano","Doguwa","kano_doguwa",151181,"Northwest",1472.915186,"Others",102.640668951593,"kano_doguwa",8.67629162498521,10.8436371092195
